2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2.227,-7.662,-2.613,-6.821,-0.162,0.609,-1.058,6.742,-5.773,-1.005,-7.15,-2.117,-4.501,-0.669,-7.832,2.453,-14.498,-2.391,-8.943,1.726,1.003,-1.222,-1.623
1.331,-8.49,-3.169,-6.657,0.053,0.499,-1.5,6.94,-6.17,-0.173,-7.095,-2.334,-4.932,-0.451,-7.944,1.961,-14.451,-3.221,-10.657,1.559,0.948,-1.667,-1.354
0.507,-8.786,-3.229,-7.337,0.003,0.333,-1.441,7.132,-6.164,-0.006,-7.426,-2.508,-4.893,-0.829,-8.393,1.304,-13.89,-3.114,-11.047,2.053,0.18,-1.279,-0.856
-0.272,-8.971,-2.737,-8.108,-0.604,-0.269,-1.214,8.047,-6.055,0.096,-7.488,-3.335,-4.937,-0.601,-8.451,0.752,-14.393,-3.76,-12.776,1.996,0.068,-0.947,0.254
-1.243,-7.99,-2.109,-7.613,-0.819,-0.816,-0.834,8.998,-5.683,-0.226,-7.532,-2.995,-4.113,-0.723,-7.652,-0.397,-14.276,-3.775,-13.956,1.456,-0.636,-1.338,1.416
-1.386,-6.383,-0.723,-6.304,-0.816,-0.772,-0.819,10.448,-3.531,-0.105,-5.662,-1.015,-3.345,-0.806,-5.809,-1.15,-12.718,-3.003,-13.837,2.421,-0.149,-0.498,2.975
-0.921,-4.8,1.102,-4.84,-0.656,-0.555,0.291,10.537,-1.51,0.414,-4.737,0.379,-2.293,0.085,-4.45,-2.275,-10.601,-2.881,-13.742,3.06,-0.381,0.553,4.294
-0.534,-3.894,2.112,-3.335,-0.538,-0.616,0.515,10.862,0.525,0.905,-4.0,1.129,-0.437,0.205,-2.792,-2.714,-8.824,-2.806,-13.587,3.025,-0.344,1.489,5.115
0.344,-2.745,2.382,-2.991,-0.8,-0.947,1.093,11.131,1.267,1.506,-3.091,1.481,0.754,0.82,-1.568,-2.652,-7.509,-2.26,-13.605,3.559,-0.07,2.041,5.758
0.62,-1.738,2.773,-1.889,-0.863,-0.998,2.379,11.996,1.882,1.898,-3.207,1.953,1.317,1.197,-0.775,-3.124,-6.232,-1.509,-12.869,3.499,0.465,2.106,6.719
0.893,-0.951,3.27,-0.795,-0.658,-0.758,3.306,11.553,2.002,1.848,-2.568,2.109,1.171,0.974,0.103,-3.422,-5.666,-1.425,-12.847,3.181,0.736,1.943,6.5
0.554,-1.288,3.226,-0.448,-0.166,-0.704,3.655,11.802,1.954,1.733,-2.331,1.892,1.673,0.373,0.069,-3.547,-5.476,-0.676,-12.542,3.221,0.727,1.559,6.382
-0.276,-1.725,2.946,-1.111,0.55,-1.167,2.494,12.032,1.342,1.666,-2.39,0.78,1.058,-0.792,0.051,-4.338,-5.645,-1.397,-12.619,4.198,-0.273,1.609,6.955
